Longitude,Latitude,Field,Dataset,Product,Feature ID,Date / Time,Duration(s),Area Count,Elevation(ft),Swath Width(ft),Y Offset(ft),Speed(mph),Distance(ft),Fuel Consumption Rate (Time)(gal(US)/h),Track(deg),Target Rate (Liquid)(gal(US)/ac),Rate (Volume)(gal(US)/ac),Segment ID,Pass Number,Productivity(ac/h),Date,Rate Quality,Rate (Volume) (Tough 5EC)(floz(US)/ac),Product Amount Used/Needed (Tough 5EC),Rate (Volume) (Laudis Herbicide)(floz(US)/ac),Product Amount Used/Needed (Laudis Herbicide),Rate (Mass) (Ag saver)(oz/ac),Rate (Volume) (Warrant Herbicide)(qt(US)/ac),Product Amount Used/Needed (Warrant Herbicide),Rate (Volume) (Fulltec Oil)(floz(US)/ac),Product Amount Used/Needed (Fulltec Oil),Rate (Volume) (Fulltec Adjuvant)(floz(US)/ac),Product Amount Used/Needed (Fulltec Adjuvant),Rate (Volume) (Water)(gal(US)/ac),Product Amount Used/Needed (Water),Rate (Volume) (Callisto)(floz(US)/ac),Product Amount Used/Needed (Callisto),Rate (Volume) (Ag saver)(floz(US)/ac),Product Amount Used/Needed (Ag saver),Rate (Mass) (AAtrex 4L Herbicide)(lb/ac),Rate (Volume) (Smackdown)(pt(US)/ac),Product Amount Used/Needed (Smackdown),Rate (Volume) (Surpass NXT)(pt(US)/ac),Rate (Mass) (Atrazine 4L)(lb/ac),Rate (Volume) (Gro Centric)(floz(US)/ac),Rate (Volume) (Water (1)~9)(gal(US)/ac),Product Amount Used/Needed,Area (ac)
-93.78163025,42.01980987,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,1,7/2/2025,0.200,On,1114.5,41.25,36.25,5.042,1.476,8.354,178.34,15.00,14.76,0,1,25.17,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.738,0.00026,3.937,4.300e-05,1.969,2.150e-05,14.05,0.020,0.00,0.00,23.62,0.00026,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0014
-93.78162500,42.01953265,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,12,7/2/2025,1.005,On,1114.2,118.75,-1.250,7.429,10.94,7.404,180.54,15.00,15.05,0,1,106.85,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.752,0.0056,4.012,0.00093,2.006,0.00047,14.31,0.427,0.00,0.00,24.07,0.0056,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.030
-93.78162586,42.01950221,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,13,7/2/2025,0.995,On,1114.1,118.75,-1.250,7.569,11.04,7.045,179.26,15.00,14.99,0,1,108.86,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.749,0.0056,3.997,0.00094,1.998,0.00047,14.26,0.429,0.00,0.00,23.98,0.0056,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.030
-93.78162612,42.01947107,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,14,7/2/2025,1.000,On,1114.2,118.75,-1.250,7.630,11.18,7.989,178.33,15.00,15.01,0,1,109.76,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.750,0.0057,4.002,0.00095,2.001,0.00048,14.28,0.435,0.00,0.00,24.01,0.0057,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.030
-93.78162489,42.01943940,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,15,7/2/2025,1.005,On,1114.2,118.75,-1.250,7.792,11.48,7.640,178.82,15.00,14.97,0,1,112.10,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.749,0.0059,3.992,0.00098,1.996,0.00049,14.24,0.446,0.00,0.00,23.95,0.0059,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.031
-93.78162366,42.01940713,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,16,7/2/2025,0.995,On,1114.2,118.75,-1.250,7.940,11.58,7.170,179.76,15.00,14.95,0,1,114.23,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.747,0.0059,3.986,0.00098,1.993,0.00049,14.22,0.449,0.00,0.00,23.92,0.0059,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.032
-93.78162318,42.01937498,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,17,7/2/2025,1.000,On,1114.3,118.75,-1.250,8.008,11.74,7.190,180.04,15.00,14.94,0,1,115.17,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.747,0.0060,3.983,0.00100,1.991,0.00050,14.21,0.455,0.00,0.00,23.90,0.0060,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.032
-93.78162357,42.01934257,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,18,7/2/2025,1.000,On,1114.3,118.75,-1.250,8.027,11.77,6.985,179.06,15.00,14.94,0,1,115.53,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.747,0.0060,3.984,0.00100,1.992,0.00050,14.21,0.456,0.00,0.00,23.90,0.0060,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.032
-93.78162333,42.01931013,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,19,7/2/2025,1.010,On,1114.5,118.75,-1.250,8.032,11.89,7.231,178.92,15.00,14.96,0,1,115.53,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.748,0.0061,3.990,0.0010,1.995,0.00051,14.23,0.461,0.00,0.00,23.94,0.0061,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.032
-93.78162203,42.01927782,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,20,7/2/2025,0.995,On,1114.5,118.75,-1.250,8.050,11.74,7.121,180.07,15.00,14.96,0,1,115.78,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.748,0.0060,3.989,0.00100,1.995,0.00050,14.23,0.455,0.00,0.00,23.94,0.0060,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.032
-93.78162174,42.01924534,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,21,7/2/2025,1.005,On,1114.6,118.75,-1.250,8.039,11.84,7.624,180.15,15.00,14.98,0,1,115.63,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.749,0.0060,3.994,0.0010,1.997,0.00050,14.25,0.460,0.00,0.00,23.96,0.0060,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.032
-93.78162225,42.01921298,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,22,7/2/2025,0.990,On,1114.7,118.75,-1.250,8.047,11.68,7.306,179.26,15.00,14.96,0,1,115.82,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.748,0.0060,3.990,0.00099,1.995,0.00050,14.23,0.453,0.00,0.00,23.94,0.0060,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.032
-93.78162161,42.01918040,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,23,7/2/2025,1.000,On,1114.8,118.75,-1.250,8.086,11.86,7.204,179.69,15.00,15.01,0,1,116.42,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.750,0.0061,4.002,0.0010,2.001,0.00051,14.28,0.462,0.00,0.00,24.01,0.0061,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.032
-93.78162114,42.01914775,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,24,7/2/2025,1.000,On,1114.8,118.75,-1.250,8.107,11.90,7.243,180.09,15.00,15.03,0,1,116.74,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.751,0.0061,4.007,0.0010,2.004,0.00051,14.30,0.464,0.00,0.00,24.04,0.0061,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.032
-93.78162147,42.01911512,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,25,7/2/2025,1.000,On,1115.0,118.75,-1.250,8.082,11.86,7.215,179.58,15.00,15.04,0,1,116.36,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.752,0.0061,4.011,0.0010,2.005,0.00051,14.31,0.462,0.00,0.00,24.06,0.0061,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.032
-93.78162173,42.01908227,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,26,7/2/2025,1.000,On,1115.0,118.75,-1.250,8.167,11.98,7.295,179.40,15.00,14.97,0,1,117.61,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.749,0.0061,3.992,0.0010,1.996,0.00051,14.24,0.465,0.00,0.00,23.95,0.0061,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.033
-93.78162135,42.01904921,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,27,7/2/2025,1.000,On,1115.0,118.75,-1.250,8.190,12.02,7.111,179.70,15.00,15.00,0,1,117.97,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.750,0.0061,4.000,0.0010,2.000,0.00051,14.27,0.468,0.00,0.00,24.00,0.0061,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.033
-93.78162084,42.01901619,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,28,7/2/2025,1.000,On,1115.1,118.75,-1.250,8.199,12.03,6.986,179.62,15.00,15.01,0,1,118.06,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.751,0.0062,4.004,0.0010,2.002,0.00051,14.28,0.468,0.00,0.00,24.02,0.0062,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.033
-93.78162054,42.01898287,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,29,7/2/2025,1.000,On,1115.0,118.75,-1.250,8.236,12.08,6.608,179.95,15.00,15.01,0,1,118.54,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.751,0.0062,4.004,0.0010,2.002,0.00051,14.28,0.470,0.00,0.00,24.02,0.0062,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.033
-93.78162030,42.01894954,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,30,7/2/2025,1.000,On,1115.0,118.75,-1.250,8.285,12.15,6.405,180.17,15.00,14.94,0,1,119.29,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.747,0.0062,3.984,0.0010,1.992,0.00052,14.21,0.471,0.00,0.00,23.91,0.0062,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.033
-93.78162065,42.01891612,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,31,7/2/2025,0.995,On,1114.9,118.75,-1.250,8.268,12.07,7.037,180.19,15.00,14.98,0,1,119.04,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.749,0.0062,3.993,0.0010,1.997,0.00051,14.25,0.469,0.00,0.00,23.96,0.0062,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.033
-93.78162066,42.01888249,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,32,7/2/2025,1.010,On,1114.7,118.75,-1.250,8.329,12.34,7.110,180.77,15.00,15.00,0,1,119.92,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.750,0.0063,4.000,0.0011,2.000,0.00053,14.27,0.480,0.00,0.00,24.00,0.0063,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.034
-93.78162092,42.01884821,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,33,7/2/2025,1.000,On,1114.6,118.75,-1.250,8.410,12.34,7.181,180.31,15.00,14.97,0,1,121.12,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.748,0.0063,3.991,0.0010,1.996,0.00052,14.24,0.479,0.00,0.00,23.95,0.0063,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.034
-93.78162143,42.01881335,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,34,7/2/2025,0.995,On,1114.5,118.75,-1.250,8.592,12.55,6.620,179.29,15.00,14.94,0,1,123.74,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.747,0.0064,3.984,0.0011,1.992,0.00053,14.21,0.486,0.00,0.00,23.91,0.0064,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.034
-93.78162090,42.01877807,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,35,7/2/2025,1.000,On,1114.2,118.75,-1.250,8.728,12.80,6.775,179.33,15.00,14.96,0,1,125.66,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.748,0.0065,3.989,0.0011,1.994,0.00054,14.23,0.497,0.00,0.00,23.93,0.0065,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.035
-93.78162027,42.01874248,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,36,7/2/2025,0.995,On,1114.0,118.75,-1.250,8.785,12.82,6.617,179.67,15.00,14.94,0,1,126.49,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.747,0.0065,3.984,0.0011,1.992,0.00054,14.21,0.497,0.00,0.00,23.91,0.0065,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.035
-93.78161960,42.01870646,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,37,7/2/2025,1.005,On,1113.8,118.75,-1.250,8.908,13.14,5.849,180.21,15.00,14.95,0,1,128.27,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.747,0.0067,3.986,0.0011,1.993,0.00056,14.22,0.509,0.00,0.00,23.92,0.0067,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.036
-93.78161942,42.01867061,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,38,7/2/2025,1.000,On,1113.6,118.75,-1.250,8.909,13.07,5.984,180.16,15.00,14.95,0,1,128.30,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.748,0.0067,3.987,0.0011,1.994,0.00056,14.22,0.507,0.00,0.00,23.92,0.0067,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.036
-93.78162015,42.01863492,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,39,7/2/2025,1.000,On,1113.4,118.75,-1.250,8.899,13.06,6.374,179.12,15.00,14.96,0,1,128.14,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.748,0.0067,3.989,0.0011,1.995,0.00055,14.23,0.507,0.00,0.00,23.94,0.0067,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.036
-93.78161951,42.01859894,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,40,7/2/2025,0.996,On,1113.3,118.75,-1.250,8.894,12.99,6.298,179.43,15.00,14.96,0,1,128.04,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.748,0.0066,3.989,0.0011,1.994,0.00055,14.23,0.504,0.00,0.00,23.93,0.0066,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.035
-93.78161845,42.01856306,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,41,7/2/2025,1.000,On,1113.1,118.75,-1.250,8.939,13.10,6.331,180.19,15.00,14.98,0,1,128.59,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.749,0.0067,3.995,0.0011,1.997,0.00056,14.25,0.509,0.00,0.00,23.97,0.0067,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.036
-93.78161876,42.01852731,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,42,7/2/2025,1.004,On,1113.0,118.75,-1.250,8.901,13.12,6.916,179.18,15.00,15.02,0,1,128.27,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.751,0.0067,4.004,0.0011,2.002,0.00056,14.29,0.511,0.00,0.00,24.03,0.0067,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.036
-93.78161830,42.01849126,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,43,7/2/2025,1.000,On,1112.9,118.75,-1.250,8.927,13.10,6.504,179.12,15.00,15.03,0,1,128.53,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.751,0.0067,4.007,0.0011,2.003,0.00056,14.29,0.510,0.00,0.00,24.04,0.0067,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.036
-93.78161693,42.01845513,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,44,7/2/2025,1.000,On,1112.8,118.75,-1.250,8.951,13.13,6.448,180.53,15.00,15.01,0,1,128.88,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.751,0.0067,4.004,0.0011,2.002,0.00056,14.28,0.511,0.00,0.00,24.02,0.0067,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.036
-93.78161708,42.01841925,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,45,7/2/2025,1.000,On,1112.7,118.75,-1.250,8.951,13.13,6.740,180.29,15.00,15.05,0,1,128.85,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.753,0.0067,4.014,0.0011,2.007,0.00056,14.32,0.513,0.00,0.00,24.08,0.0067,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.036
-93.78161745,42.01838322,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,46,7/2/2025,1.000,On,1112.6,118.75,-1.250,8.918,13.09,6.524,179.51,15.00,15.06,0,1,128.43,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.753,0.0067,4.016,0.0011,2.008,0.00056,14.33,0.511,0.00,0.00,24.09,0.0067,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.036
-93.78161702,42.01834745,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,47,7/2/2025,1.000,On,1112.5,118.75,-1.250,8.959,13.14,6.705,180.25,15.00,15.00,0,1,128.98,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.750,0.0067,4.001,0.0011,2.000,0.00056,14.27,0.511,0.00,0.00,24.01,0.0067,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.036
-93.78161644,42.01831157,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,48,7/2/2025,1.000,On,1112.3,118.75,-1.250,8.870,13.01,7.191,180.95,15.00,15.01,0,1,127.72,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.751,0.0067,4.004,0.0011,2.002,0.00055,14.28,0.507,0.00,0.00,24.02,0.0067,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.035
-93.78161762,42.01828299,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,49,7/2/2025,0.800,On,1112.1,118.75,-1.250,8.893,10.44,7.048,179.49,15.00,15.00,0,1,128.07,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.750,0.0053,4.000,0.00089,2.000,0.00044,14.27,0.406,0.00,0.00,24.00,0.0053,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.028
