Longitude,Latitude,Field,Dataset,Product,Feature ID,Date / Time,Duration(s),Area Count,Elevation(ft),Swath Width(ft),Y Offset(ft),Speed(mph),Distance(ft),Fuel Consumption Rate (Time)(gal(US)/h),Track(deg),Target Rate (Liquid)(gal(US)/ac),Rate (Volume)(gal(US)/ac),Segment ID,Pass Number,Productivity(ac/h),Date,Rate Quality,Rate (Volume) (Tough 5EC)(floz(US)/ac),Product Amount Used/Needed (Tough 5EC),Rate (Volume) (Laudis Herbicide)(floz(US)/ac),Product Amount Used/Needed (Laudis Herbicide),Rate (Mass) (Ag saver)(oz/ac),Rate (Volume) (Warrant Herbicide)(qt(US)/ac),Product Amount Used/Needed (Warrant Herbicide),Rate (Volume) (Fulltec Oil)(floz(US)/ac),Product Amount Used/Needed (Fulltec Oil),Rate (Volume) (Fulltec Adjuvant)(floz(US)/ac),Product Amount Used/Needed (Fulltec Adjuvant),Rate (Volume) (Water)(gal(US)/ac),Product Amount Used/Needed (Water),Rate (Volume) (Callisto)(floz(US)/ac),Product Amount Used/Needed (Callisto),Rate (Volume) (Ag saver)(floz(US)/ac),Product Amount Used/Needed (Ag saver),Rate (Mass) (AAtrex 4L Herbicide)(lb/ac),Rate (Volume) (Smackdown)(pt(US)/ac),Product Amount Used/Needed (Smackdown),Rate (Volume) (Surpass NXT)(pt(US)/ac),Rate (Mass) (Atrazine 4L)(lb/ac),Rate (Volume) (Gro Centric)(floz(US)/ac),Rate (Volume) (Water (1)~9)(gal(US)/ac),Product Amount Used/Needed,Area (ac)
-93.77536055,42.02089428,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,11,5/7/2025,1.005,On,1131.2,110.00,-5.625,5.763,8.493,4.489,359.96,56.49,51.07,0,1,76.83,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.260,0.0061,0.00,0.00,0.00,0.00,0.00,0.021
-93.77536090,42.02091761,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,12,5/7/2025,0.994,On,1131.2,110.00,-5.625,5.763,8.398,5.267,0.580,56.49,54.18,0,1,76.81,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.398,0.0064,0.00,0.00,0.00,0.00,0.00,0.021
-93.77536055,42.02094189,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,13,5/7/2025,1.006,On,1131.2,110.00,-5.625,5.869,8.651,5.616,0.627,56.49,56.66,0,1,78.17,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.507,0.0068,0.00,0.00,0.00,0.00,0.00,0.022
-93.77536038,42.02096620,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,14,5/7/2025,0.999,On,1131.2,110.00,-5.625,6.061,8.890,5.464,0.847,56.49,55.28,0,1,80.90,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.446,0.0069,0.00,0.00,0.00,0.00,0.00,0.022
-93.77536006,42.02099065,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,15,5/7/2025,1.001,On,1131.2,110.00,-5.625,6.055,8.887,5.235,1.106,56.49,55.36,0,1,80.71,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.450,0.0069,0.00,0.00,0.00,0.00,0.00,0.022
-93.77535957,42.02101504,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,16,5/7/2025,0.999,On,1131.2,110.00,-5.625,6.045,8.854,5.602,1.255,56.49,56.24,0,1,80.57,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.489,0.0070,0.00,0.00,0.00,0.00,0.00,0.022
-93.77535920,42.02102472,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,17,5/7/2025,0.395,On,1131.2,110.00,-5.625,6.070,3.516,5.649,1.231,56.49,55.72,0,1,80.92,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.465,0.0027,0.00,0.00,0.00,0.00,0.00,0.0089
-93.77535845,42.02104907,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,18,5/7/2025,1.005,On,1131.2,108.75,-6.250,6.052,8.920,5.687,1.294,56.49,56.45,0,1,79.77,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.498,0.0070,0.00,0.00,0.00,0.00,0.00,0.022
-93.77535794,42.02107332,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,19,5/7/2025,0.995,On,1131.2,108.75,-6.250,6.043,8.818,5.444,1.262,56.49,55.62,0,1,79.65,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.461,0.0068,0.00,0.00,0.00,0.00,0.00,0.022
-93.77535663,42.02109773,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,20,5/7/2025,1.000,On,1131.2,108.75,-6.250,6.054,8.877,5.499,359.91,56.49,55.75,0,1,79.78,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.467,0.0068,0.00,0.00,0.00,0.00,0.00,0.022
-93.77535614,42.02112214,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,21,5/7/2025,1.000,On,1131.2,108.75,-6.250,6.068,8.900,5.902,359.08,56.49,56.97,0,1,79.99,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.521,0.0070,0.00,0.00,0.00,0.00,0.00,0.022
-93.77535695,42.02114682,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,22,5/7/2025,1.006,On,1131.2,108.75,-6.250,6.100,8.995,5.313,359.56,56.49,56.58,0,1,80.36,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.504,0.0070,0.00,0.00,0.00,0.00,0.00,0.022
-93.77535728,42.02117143,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,23,5/7/2025,0.994,On,1131.2,108.75,-6.250,6.132,8.939,5.428,359.62,56.49,55.97,0,1,80.83,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.476,0.0069,0.00,0.00,0.00,0.00,0.00,0.022
-93.77535722,42.02119596,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,24,5/7/2025,1.000,On,1131.1,108.75,-6.250,6.097,8.939,5.477,359.30,56.49,56.80,0,1,80.34,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.513,0.0070,0.00,0.00,0.00,0.00,0.00,0.022
-93.77535768,42.02122053,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,25,5/7/2025,1.000,On,1131.0,108.75,-6.250,6.119,8.966,4.952,359.42,56.49,56.04,0,1,80.58,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.479,0.0069,0.00,0.00,0.00,0.00,0.00,0.022
-93.77535839,42.02124522,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,26,5/7/2025,1.005,On,1130.9,108.75,-6.250,6.115,9.006,4.951,0.133,56.49,55.80,0,1,80.54,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.469,0.0069,0.00,0.00,0.00,0.00,0.00,0.022
-93.77535838,42.02126976,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,27,5/7/2025,0.996,On,1130.9,108.75,-6.250,6.122,8.927,5.371,0.282,56.49,57.05,0,1,80.56,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.524,0.0070,0.00,0.00,0.00,0.00,0.00,0.022
-93.77535819,42.02127952,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,28,5/7/2025,0.399,On,1130.8,108.75,-6.250,6.084,3.566,5.538,0.141,56.49,57.54,0,1,80.33,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.546,0.0028,0.00,0.00,0.00,0.00,0.00,0.0089
-93.77535784,42.02130416,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,29,5/7/2025,1.005,On,1130.7,107.50,-6.875,6.080,8.953,5.382,359.53,56.49,56.76,0,1,79.15,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.511,0.0069,0.00,0.00,0.00,0.00,0.00,0.022
-93.77535799,42.02132873,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,30,5/7/2025,0.995,On,1130.7,107.50,-6.875,6.140,8.953,5.152,359.25,56.49,56.41,0,1,79.94,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.496,0.0069,0.00,0.00,0.00,0.00,0.00,0.022
-93.77535850,42.02135321,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,31,5/7/2025,1.001,On,1130.5,107.50,-6.875,6.106,8.950,5.391,359.12,56.49,56.41,0,1,79.44,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.496,0.0069,0.00,0.00,0.00,0.00,0.00,0.022
-93.77535895,42.02137799,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,32,5/7/2025,0.995,On,1130.4,107.50,-6.875,6.114,8.924,5.084,358.29,56.49,56.02,0,1,79.68,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.479,0.0068,0.00,0.00,0.00,0.00,0.00,0.022
-93.77535915,42.02139781,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,33,5/7/2025,0.804,On,1130.3,107.50,-6.875,6.171,7.267,4.594,356.93,56.49,55.13,0,1,80.30,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.439,0.0055,0.00,0.00,0.00,0.00,0.00,0.018
-93.77536047,42.02142252,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,34,5/7/2025,1.011,On,1130.2,108.75,-6.250,6.165,9.134,4.651,355.59,56.49,55.82,0,1,81.20,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.470,0.0070,0.00,0.00,0.00,0.00,0.00,0.023
-93.77536316,42.02144710,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,35,5/7/2025,0.990,On,1130.1,108.75,-6.250,6.125,8.885,5.000,355.91,56.49,57.42,0,1,80.66,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.541,0.0070,0.00,0.00,0.00,0.00,0.00,0.022
-93.77536455,42.02145682,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,36,5/7/2025,0.399,On,1130.0,108.75,-6.250,6.114,3.573,4.824,356.18,56.49,55.88,0,1,80.48,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.473,0.0028,0.00,0.00,0.00,0.00,0.00,0.0089
-93.77536609,42.02147899,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,37,5/7/2025,1.005,On,1129.8,110.00,-5.625,5.973,8.793,2.760,355.01,56.49,56.95,0,1,79.54,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.520,0.0070,0.00,0.00,0.00,0.00,0.00,0.022
-93.77536767,42.02149603,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,38,5/7/2025,0.995,On,1129.7,110.00,-5.625,5.025,7.287,2.650,354.30,56.49,63.56,0,1,66.58,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.812,0.0065,0.00,0.00,0.00,0.00,0.00,0.018
-93.77537012,42.02151060,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,39,5/7/2025,1.000,On,1129.7,110.00,-5.625,4.019,5.873,3.227,355.08,56.49,70.69,0,1,53.39,5/7/2025,Over Target,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.128,0.0058,0.00,0.00,0.00,0.00,0.00,0.015
-93.77537203,42.02152721,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,40,5/7/2025,1.000,On,1129.6,111.25,-5.000,3.814,5.581,4.951,355.48,56.49,63.14,0,1,51.31,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.794,0.0050,0.00,0.00,0.00,0.00,0.00,0.014
-93.77537417,42.02154688,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,41,5/7/2025,1.000,On,1129.4,111.25,-5.000,4.469,6.529,4.480,356.02,56.49,53.99,0,1,60.03,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.389,0.0050,0.00,0.00,0.00,0.00,0.00,0.017
-93.77537598,42.02156696,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,42,5/7/2025,1.001,On,1129.4,112.50,-4.375,4.916,7.205,4.482,356.14,56.49,50.17,0,1,66.92,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.220,0.0052,0.00,0.00,0.00,0.00,0.00,0.019
-93.77537775,42.02158799,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,43,5/7/2025,0.999,On,1129.3,112.50,-4.375,5.059,7.408,5.248,355.91,56.49,52.88,0,1,68.95,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.340,0.0056,0.00,0.00,0.00,0.00,0.00,0.019
-93.77537977,42.02161003,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,44,5/7/2025,1.000,On,1129.2,112.50,-4.375,5.334,7.815,4.886,355.96,56.49,52.96,0,1,72.66,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.343,0.0059,0.00,0.00,0.00,0.00,0.00,0.020
-93.77538019,42.02161449,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,45,5/7/2025,0.206,On,1129.1,112.50,-4.375,5.467,1.650,4.669,356.13,56.49,51.81,0,1,74.48,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.292,0.0012,0.00,0.00,0.00,0.00,0.00,0.0043
-93.77538257,42.02163695,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,46,5/7/2025,0.994,On,1129.1,113.75,-3.750,5.543,8.071,4.679,357.22,56.49,52.84,0,1,76.33,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.338,0.0062,0.00,0.00,0.00,0.00,0.00,0.021
-93.77538414,42.02165903,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,47,5/7/2025,1.006,On,1129.0,113.75,-3.750,5.561,8.189,4.756,358.20,56.49,55.44,0,1,76.52,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.453,0.0066,0.00,0.00,0.00,0.00,0.00,0.021
-93.77538547,42.02168085,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,48,5/7/2025,0.990,On,1129.1,113.75,-3.750,5.470,7.943,4.851,359.11,56.49,57.37,0,1,75.42,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.538,0.0066,0.00,0.00,0.00,0.00,0.00,0.021
-93.77538613,42.02170211,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,49,5/7/2025,1.009,On,1129.5,113.75,-3.750,5.395,7.972,4.896,359.78,56.49,58.23,0,1,74.28,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.576,0.0067,0.00,0.00,0.00,0.00,0.00,0.021
-93.77538621,42.02172118,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,50,5/7/2025,0.996,On,1129.9,113.75,-3.750,5.125,7.477,4.501,359.84,56.49,59.74,0,1,70.57,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.644,0.0065,0.00,0.00,0.00,0.00,0.00,0.020
-93.77538629,42.02173621,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,51,5/7/2025,1.000,On,1130.0,113.75,-3.750,4.442,6.483,4.152,359.60,56.49,63.32,0,1,60.94,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.802,0.0059,0.00,0.00,0.00,0.00,0.00,0.017
-93.77538641,42.02174383,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,52,5/7/2025,0.599,On,1130.0,113.75,-3.750,3.526,3.054,3.559,359.66,56.49,65.02,0,1,47.94,5/7/2025,Over Target,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.877,0.0029,0.00,0.00,0.00,0.00,0.00,0.0080
